County  ;2018 ;2019 ;2020 ;2021 ;2022
Nassau  ;1 ;7 ;4 ;8 ;7
Duval  ;1 ;4 ;3 ;3 ;3
St. Johns  ;16 ;74 ;47 ;20 ;65
Flagler  ;16 ;251 ;124 ;124 ;243
V olusia  ;143 ;2,467 ;1,459 ;1,781 ;2,831
Brevard  ;1,598 ;25,609 ;12,203 ;15,281 ;17,464
Indian River  ;240 ;2,389 ;1,219 ;1,498 ;1,826
St. Lucie  ;201 ;1,257 ;586 ;778 ;682
Martin  ;765 ;5,720 ;3,899 ;5,005 ;4,419
Palm Beach  ;1,277 ;12,612 ;6,125 ;6,788 ;7,725
Broward  ;136 ;787 ;277 ;463 ;409
Miami-Dade  ;10 ;47 ;8 ;17 ;49
Monroe  ;71 ;793 ;217 ;185 ;481
Collier  ;0 ;16 ;6 ;25 ;15
Lee  ;9 ;96 ;43 ;60 ;84
Charlotte  ;21 ;233 ;76 ;124 ;108
Sarasota  ;37 ;484 ;227 ;405 ;492
Manatee  ;0 ;17 ;1 ;10 ;12
Hillsborough  ;0 ;0 ;0 ;0 ;0
Pinellas  ;0 ;0 ;3 ;1 ;0
Franklin  ;0 ;46 ;34 ;33 ;29
Gulf  ;0 ;44 ;36 ;28 ;43
Bay  ;4 ;26 ;20 ;17 ;23
Walton  ;0 ;17 ;31 ;5 ;16
Okaloosa  ;0 ;10 ;4 ;11 ;0
Santa Rosa  ;0 ;2 ;0 ;0 ;1
Escambia  ;0 ;8 ;4 ;10 ;1
Totals  ;4546 ;53016 ;26656 ;32680 ;37028