County ,2018,2019,2020,2021,2022
Nassau ,2,0,0,0,0
Duval ,4,0,3,0,4
St. Johns ,12,4,21,7,15
Flagler ,6,9,3,1,8
V olusia ,11,16,19,15,23
Brevard ,38,98,98,95,143
Indian River ,47,40,69,26,106
St. Lucie ,104,95,204,143,251
Martin ,398,380,628,522,720
Palm Beach ,305,397,565,484,536
Broward ,18,43,29,86,28
Miami-Dade ,3,8,6,11,11
Monroe ,1,0,0,0,0
Collier ,0,0,0,0,1
Lee ,0,0,7,0,0
Charlotte ,0,0,0,0,0
Sarasota ,0,4,0,0,0
Manatee ,0,0,0,0,1
Hillsborough ,0,0,0,0,0
Pinellas ,0,0,0,0,0
Franklin ,0,1,0,0,0
Gulf ,0,2,0,0,0
Bay ,0,5,0,0,0
Walton ,0,2,0,0,0
Okaloosa ,0,1,0,0,0
Santa Rosa ,0,0,0,0,0
Escambia ,0,0,0,0,1